"filename", "language", "C#", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BattleController.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\LineupManager.cs", "C#", 0, 3, -1, 2
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\Card.cs", "C#", 3, 0, -1, 2
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardListManager.cs", "C#", 3, -1, 0, 2
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardPanelController.cs", "C#", -1, 1, 0, 0
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardPreviewController.cs", "C#", -1, 0, 0, -1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardResultManager.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\DamageText.cs", "C#", -3, 0, -3, -6
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CharacterPanel\CharacterInfoManager.cs", "C#", 58, 1, 6, 65
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CharacterPanel\CharacterMovements.cs", "C#", 131, 1, 11, 143
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CharacterPanel\CharacterSkillController.cs", "C#", 34, 0, 3, 37
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CharacterPanel\SpellController.cs", "C#", 49, 5, 6, 60
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Characters\Character.cs", "C#", 1, 0, -1, 0
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Characters\CharacterMovements.cs", "C#", -131, -1, -11, -143
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Characters\CharacterSkillController.cs", "C#", -33, 0, -3, -36
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Characters\Magician\Sernia.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Characters\Mechanician\Asra.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Characters\Monster\Magki.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Characters\SpellController.cs", "C#", -49, -5, -6, -60
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Inventory\ItemManager.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Inventory\RemoteItemManager.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Main\LunaController.cs", "C#", 70, 3, 13, 86
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Settings\SettingsManager.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\CharacterInfoManager.cs", "C#", -37, -1, -2, -40
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\PortraitSlot.cs", "C#", 14, 0, 1, 15
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\DataUtil.cs", "C#", 19, 0, 1, 20
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\FileBrowserHelper.cs", "C#", 37, 14, 10, 61
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\ImageUtil.cs", "C#", 37, 4, 8, 49
"Total", "-", 209, 24, 31, 264
