"filename", "language", "C#", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CharacterPanel\CharacterInfoManager.cs", "C#", 18, -1, -2, 15
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\PlayerEntity.cs", "C#", 15, 0, 1, 16
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Props\DefaultProperty.cs", "C#", 7, 1, 2, 10
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\DataUtil.cs", "C#", 56, 9, 7, 72
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\ImageUtil.cs", "C#", -1, 0, -1, -2
"Total", "-", 95, 9, 7, 111
