Date : 2025-02-28 16:19:29
Directory : j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts
Total : 90 files,  5184 codes, 204 comments, 703 blanks, all 6091 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         90 |      5,184 |        204 |        703 |      6,091 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         90 |      5,184 |        204 |        703 |      6,091 |
| . (Files)                                                                                            |         23 |      1,435 |         64 |        204 |      1,703 |
| Battle                                                                                               |          5 |        395 |         16 |         43 |        454 |
| Card                                                                                                 |          4 |        414 |         25 |         53 |        492 |
| Character                                                                                            |          6 |        409 |          1 |         41 |        451 |
| Character (Files)                                                                                    |          3 |        169 |          1 |         18 |        188 |
| Character\Magician                                                                                   |          1 |         79 |          0 |          7 |         86 |
| Character\Mechanician                                                                                |          1 |         80 |          0 |          8 |         88 |
| Character\Monster                                                                                    |          1 |         81 |          0 |          8 |         89 |
| Entity                                                                                               |         16 |        755 |          9 |        118 |        882 |
| Init                                                                                                 |          1 |         72 |          5 |         11 |         88 |
| Inventory                                                                                            |          1 |         64 |          1 |         11 |         76 |
| Props                                                                                                |          3 |         94 |          2 |         13 |        109 |
| Scene                                                                                                |          2 |         52 |         13 |         11 |         76 |
| Settings                                                                                             |          1 |         42 |          1 |          8 |         51 |
| Shop                                                                                                 |          1 |        172 |          1 |         12 |        185 |
| UI                                                                                                   |         13 |        872 |         34 |        124 |      1,030 |
| Utils                                                                                                |         14 |        408 |         32 |         54 |        494 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                             | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\AchievementController.cs              | C#       |         45 |          3 |          5 |         53 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Badge.cs                              | C#       |         48 |          1 |          6 |         55 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BattleController.cs            | C#       |        157 |          6 |         16 |        179 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BattleInfo.cs                  | C#       |         45 |          3 |          6 |         54 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BuffManager.cs                 | C#       |         72 |          2 |          4 |         78 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\DebuffManager.cs               | C#       |         72 |          5 |          7 |         84 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\LineupManager.cs               | C#       |         49 |          0 |         10 |         59 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CameraController.cs                   | C#       |         19 |          0 |          4 |         23 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardListManager.cs                    | C#       |        149 |          3 |         18 |        170 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardPanelController.cs                | C#       |         54 |          0 |          5 |         59 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardPreviewController.cs              | C#       |         18 |          0 |          3 |         21 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\Card.cs                          | C#       |        221 |         11 |         25 |        257 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\CardDataManager.cs               | C#       |         95 |          2 |         11 |        108 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\CardEffectManager.cs             | C#       |         41 |          1 |          4 |         46 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\DamageText.cs                    | C#       |         57 |         11 |         13 |         81 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Character.cs                | C#       |         14 |          0 |          3 |         17 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\CharacterMovements.cs       | C#       |        128 |          1 |         11 |        140 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\CharacterSkillController.cs | C#       |         27 |          0 |          4 |         31 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Magician\Sernia.cs          | C#       |         79 |          0 |          7 |         86 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Mechanician\Asra.cs         | C#       |         80 |          0 |          8 |         88 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Monster\Magki.cs            | C#       |         81 |          0 |          8 |         89 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\ColorAdapter.cs                       | C#       |         24 |          0 |         12 |         36 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\DialogueController.cs                 | C#       |        111 |          0 |         16 |        127 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\BadgeEntity.cs                 | C#       |         12 |          0 |          1 |         13 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\BuffEntity.cs                  | C#       |         75 |          0 |         11 |         86 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\CardBattleEntity.cs            | C#       |         27 |          0 |          3 |         30 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\CardDataContainer.cs           | C#       |          7 |          0 |          2 |          9 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\CardEntity.cs                  | C#       |        236 |          0 |         39 |        275 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\CardExpertiseEntity.cs         | C#       |         51 |          1 |          8 |         60 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\DamageEntity.cs                | C#       |         37 |          6 |          8 |         51 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\DebuffEntity.cs                | C#       |         83 |          0 |         14 |         97 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\EventEntity.cs                 | C#       |         39 |          0 |          4 |         43 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\ExpertiseEntity.cs             | C#       |         12 |          0 |          2 |         14 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\ItemEntity.cs                  | C#       |         32 |          0 |          4 |         36 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\PlanetEntity.cs                | C#       |         15 |          0 |          2 |         17 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\PlanetItem.cs                  | C#       |         52 |          2 |         12 |         66 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\PlayerEntity.cs                | C#       |         28 |          0 |          2 |         30 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\PortraitEntity.cs              | C#       |         24 |          0 |          5 |         29 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\SpellEntity.cs                 | C#       |         25 |          0 |          1 |         26 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\HintTextController.cs                 | C#       |         50 |          0 |          8 |         58 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Init\GalaxyGenerator.cs               | C#       |         72 |          5 |         11 |         88 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\InputManager.cs                       | C#       |         25 |          2 |          4 |         31 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\InventoryManager.cs                   | C#       |        100 |          8 |         13 |        121 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Inventory\ItemOperationManager.cs     | C#       |         64 |          1 |         11 |         76 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\ItemManager.cs                        | C#       |        139 |          7 |         15 |        161 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\MainMenu.cs                           | C#       |         17 |          0 |          5 |         22 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\MainScrollController.cs               | C#       |        137 |         13 |         19 |        169 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\PlanetListManager.cs                  | C#       |         76 |          0 |         11 |         87 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\PlayerStatManager.cs                  | C#       |         31 |          0 |          5 |         36 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Props\DefaultProperty.cs              | C#       |         16 |          0 |          2 |         18 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Props\FloatingObject.cs               | C#       |         16 |          0 |          4 |         20 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Props\Status.cs                       | C#       |         62 |          2 |          7 |         71 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\RemoteItemManager.cs                  | C#       |        133 |          7 |         14 |        154 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Scene\BackgroundMove.cs               | C#       |         17 |          2 |          3 |         22 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Scene\SpeedController.cs              | C#       |         35 |         11 |          8 |         54 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Settings\SettingsManager.cs           | C#       |         42 |          1 |          8 |         51 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Shop\CardDrawingManager.cs            | C#       |        172 |          1 |         12 |        185 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\SlimeController.cs                    | C#       |         45 |          0 |          5 |         50 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\SoundManager.cs                       | C#       |         66 |          0 |          9 |         75 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\SpellController.cs                    | C#       |         49 |          5 |          7 |         61 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\TestCardDamage.cs                     | C#       |         45 |          7 |          7 |         59 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\TestScript.cs                         | C#       |         29 |          4 |          7 |         40 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\CardMaterialSlot.cs                | C#       |         27 |          0 |          3 |         30 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\CardResultManager.cs               | C#       |        141 |          3 |         19 |        163 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\CharacterInfoManager.cs            | C#       |         32 |          1 |          2 |         35 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\CrosshairAnimator.cs               | C#       |         65 |          6 |         11 |         82 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\EventManager.cs                    | C#       |         83 |          0 |         10 |         93 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\EventSlot.cs                       | C#       |         60 |          3 |          9 |         72 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\ItemSlot.cs                        | C#       |         59 |          0 |          6 |         65 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\PlanetDetailManager.cs             | C#       |         52 |          0 |          7 |         59 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\PlanetRadarItem.cs                 | C#       |         49 |          4 |          8 |         61 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\PortraitSlot.cs                    | C#       |         70 |          3 |         12 |         85 |
