"filename", "language", "C#", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\ItemEntity.cs", "C#", 1, 0, 1, 2
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Inventory\ItemOperationManager.cs", "C#", 47, 1, 8, 56
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\ItemManager.cs", "C#", 14, 0, 1, 15
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\ItemSlot.cs", "C#", 12, 0, 0, 12
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\RemoteItemManager.cs", "C#", 13, 0, 0, 13
"Total", "-", 87, 1, 10, 98
