"filename", "language", "C#", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BattleController.cs", "C#", 2, 0, 1, 3
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardListController.cs", "C#", -4, 0, -1, -5
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\Card.cs", "C#", 17, -2, 1, 16
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\CardDataManager.cs", "C#", 66, 0, 5, 71
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Character.cs", "C#", 14, 0, 3, 17
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\CharacterSkillController.cs", "C#", -19, 0, -2, -21
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Magician\Sernia.cs", "C#", 12, 0, 1, 13
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Mechanician\Asra.cs", "C#", 11, 0, 2, 13
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Monster\Magki.cs", "C#", 11, 0, 1, 12
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\SkillSet.cs", "C#", -11, 0, -3, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\MainScrollController.cs", "C#", 4, 0, 1, 5
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\CardResultManager.cs", "C#", 54, 1, 8, 63
"Total", "-", 157, -1, 17, 173
