"filename", "language", "C#", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardDataManager.cs", "C#", 21, 1, 2, 24
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardPreviewController.cs", "C#", 36, 0, 2, 38
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\CardDataContainer.cs", "C#", -10, 0, -1, -11
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\CardEntity.cs", "C#", 4, 1, 0, 5
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\SkillEntity.cs", "C#", 58, 0, 10, 68
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\Wrappers.cs", "C#", 33, 0, 4, 37
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Props\DefaultProperty.cs", "C#", 1, 1, 1, 3
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Test\DebugPanelController.cs", "C#", 1, -1, 0, 0
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Test\TestScript.cs", "C#", 12, -1, -2, 9
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\SkillItemSlot.cs", "C#", 63, 0, 9, 72
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\DataUtil.cs", "C#", -18, 0, -4, -22
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\EncryptionUtil.cs", "C#", 50, 3, 9, 62
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\ImageUtil.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\LocalizationUtil.cs", "C#", 22, 1, 1, 24
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\LocalizedText.cs", "C#", 9, 0, 0, 9
"Total", "-", 283, 5, 31, 319
