"filename", "language", "C#", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\PlayerEntity.cs", "C#", 29, 0, 2, 31
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Init\GalaxyGenerator.cs", "C#", 72, 5, 11, 88
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\MainScrollController.cs", "C#", 8, 1, 0, 9
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\PlanetListManager.cs", "C#", -14, 0, -2, -16
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\CrosshairAnimator.cs", "C#", 65, 6, 11, 82
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\PlanetDetailManager.cs", "C#", 52, 0, 7, 59
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\PlanetRadarItem.cs", "C#", 49, 4, 8, 61
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\RadarSystem.cs", "C#", 177, 12, 30, 219
"Total", "-", 438, 28, 67, 533
