"filename", "language", "C#", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\LineupManager.cs", "C#", 49, 5, 5, 59
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardListManager.cs", "C#", 41, 3, 8, 52
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardPreviewController.cs", "C#", 24, 0, 5, 29
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\Card.cs", "C#", 4, 0, 1, 5
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\CardDataManager.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\CharacterSkillController.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\CardEntity.cs", "C#", 15, 0, 1, 16
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\PortraitEntity.cs", "C#", 6, 0, 1, 7
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\PortraitSlot.cs", "C#", 0, 0, -1, -1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\DropZoneHandler.cs", "C#", 3, 1, 0, 4
"Total", "-", 144, 9, 20, 173
