"filename", "language", "C#", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Achievement\AchievementController.cs", "C#", 49, 3, 5, 57
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BattleController.cs", "C#", 206, 9, 37, 252
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BattleInfo.cs", "C#", 47, 3, 5, 55
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BuffManager.cs", "C#", 78, 2, 5, 85
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\DebuffManager.cs", "C#", 79, 7, 7, 93
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\LineupManager.cs", "C#", 97, 10, 13, 120
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Camera\CameraController.cs", "C#", 19, 0, 4, 23
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\Card.cs", "C#", 255, 12, 29, 296
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardDataManager.cs", "C#", 344, 4, 22, 370
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardEffectManager.cs", "C#", 44, 1, 5, 50
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardListManager.cs", "C#", 246, 5, 25, 276
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardPanelController.cs", "C#", 113, 1, 6, 120
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardPreviewController.cs", "C#", 153, 0, 18, 171
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardResultManager.cs", "C#", 141, 3, 17, 161
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\DamageText.cs", "C#", 56, 11, 9, 76
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\DropZoneHandler.cs", "C#", 71, 18, 6, 95
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CharacterPanel\CharacterInfoManager.cs", "C#", 88, 0, 6, 94
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CharacterPanel\CharacterMovements.cs", "C#", 131, 1, 11, 143
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CharacterPanel\CharacterSkillController.cs", "C#", 34, 0, 3, 37
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CharacterPanel\SpellController.cs", "C#", 49, 5, 6, 60
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Characters\Character.cs", "C#", 19, 0, 3, 22
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Characters\Magician\Sernia.cs", "C#", 93, 0, 8, 101
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Characters\Mechanician\Asra.cs", "C#", 93, 0, 8, 101
