"filename", "language", "C#", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Props\Status.cs", "C#", 62, 2, 7, 71
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\RemoteItemManager.cs", "C#", 120, 7, 14, 141
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Scene\BackgroundMove.cs", "C#", 17, 2, 3, 22
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Scene\SpeedController.cs", "C#", 35, 11, 8, 54
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\SlimeController.cs", "C#", 45, 0, 5, 50
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\SoundManager.cs", "C#", 66, 0, 9, 75
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\SpellController.cs", "C#", 49, 5, 7, 61
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\SpellSlot.cs", "C#", 44, 2, 5, 51
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\TestCardDamage.cs", "C#", 45, 7, 7, 59
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\TestScript.cs", "C#", 29, 4, 7, 40
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\CharacterInfoManager.cs", "C#", 32, 1, 2, 35
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\CrosshairAnimator.cs", "C#", 65, 6, 11, 82
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\PlanetDetailManager.cs", "C#", 52, 0, 7, 59
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\PlanetRadarItem.cs", "C#", 49, 4, 8, 61
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\RadarSystem.cs", "C#", 177, 12, 30, 219
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\ColorUtil.cs", "C#", 16, 2, 3, 21
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\Constants.cs", "C#", 9, 0, 3, 12
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\DataUtil.cs", "C#", 98, 1, 11, 110
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\DialogueContent.cs", "C#", 5, 0, 1, 6
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\ImageUtil.cs", "C#", 21, 0, 1, 22
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\InitUtil.cs", "C#", 8, 0, 1, 9
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\LogUtil.cs", "C#", 26, 0, 4, 30
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\MouseUtil.cs", "C#", 36, 0, 7, 43
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\PositionUtil.cs", "C#", 21, 9, 3, 33
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\TargetSelector.cs", "C#", 50, 0, 4, 54
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\TextUtil.cs", "C#", 17, 0, 2, 19
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\VideoPlayerController.cs", "C#", 25, 4, 6, 35
"Total", "-", 4087, 165, 565, 4817
