"filename", "language", "C#", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\LineupManager.cs", "C#", 50, 0, 9, 59
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardListController.cs", "C#", -80, -1, -9, -90
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardListManager.cs", "C#", 149, 3, 18, 170
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardPanelController.cs", "C#", 1, 0, 0, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\Card.cs", "C#", 7, 0, 1, 8
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\CardDataManager.cs", "C#", -25, -4, -4, -33
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\PortraitEntity.cs", "C#", 14, 0, 3, 17
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\MainScrollController.cs", "C#", 0, 11, -1, 10
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Props\DefaultProperty.cs", "C#", 3, 0, 0, 3
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Settings\SettingsManager.cs", "C#", 42, 1, 8, 51
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Shop\CardDrawingManager.cs", "C#", -3, 0, 0, -3
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\CardResultManager.cs", "C#", 2, 0, 1, 3
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\EventSlot.cs", "C#", -2, 0, 0, -2
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\UI\PortraitSlot.cs", "C#", 36, 2, 6, 44
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\CardDragHandler.cs", "C#", 31, 0, 6, 37
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\DataUtil.cs", "C#", 0, 0, 1, 1
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Utils\DropZoneHandler.cs", "C#", 28, 0, 2, 30
"Total", "-", 253, 12, 41, 306
